ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0009617	response to bacterium	179/2449	490/12472	4.30265708183284e-19	1.65392611531744e-15	1.11102540429916e-15	CFB/FAM20A/CD80/NOCT/IDO1/PLAC8/CCR7/CASP4/RELA/SLC7A5/IL27RA/RIPK2/NFKBIA/CASP1/TBK1/CARD16/PTGIR/PTGER4/NFKB2/ACOD1/ACE/CXCL13/MAPKAPK2/CSF2/ZC3H12A/CD274/CARD9/TNFAIP3/HCK/CASP3/CD40/TLR1/PELI1/GJB2/FOSL2/TNFRSF1B/IL10/TNIP1/ADM/CNP/FPR2/DHX58/IL7R/RNASE6/CD4/IL18BP/MGST2/GCH1/ALAD/FCER1G/ASS1/OPTN/ACP5/NFKB1/TNIP2/LYN/PRG2/TRIB1/CD86/WNT5A/PDE4B/MICA/NFKBIZ/LYZ/SBNO2/HLA-DRB1/PCK2/NLRC5/CD1D/ANXA3/MAP2K3/CYP27B1/ZNFX1/LILRB1/GBP1/GBP2/CMPK2/IRAK2/C15orf48/IL36RN/CDH1/TNF/HERC6/EDN1/TNIP3/USP18/NQO1/GBP6/SCIMP/LGALS9/MIR146A/GBP3/TLR2/TIFAB/LILRB2/SPN/RGS1/IL12B/STAB1/BMP6/NR1D1/HAMP/SASH1/SCARB1/LY86/CFD/PYCARD/AKAP12/TLR10/ADGRB1/TREM1/PDCD1LG2/CXCL6/TREM2/CD180/CD55/IL12RB2/SLAMF8/LRG1/IL27/EPHB2/IFI44/CSF2RB/CD36/MPEG1/S100A9/EPHA2/ZFP36/CCR5/MIAT/FCN2/CLEC4E/SLC22A5/CCDC80/CCL2/LTA/GBP4/CEBPE/EDNRB/WFDC2/ALPL/GSDMA/GBP5/BANK1/CHIT1/SLC11A1/CX3CR1/CXCL8/MPO/ISG15/IL18/PI3/GBP7/IKZF3/STAP1/IL23A/DEFB124/TNFSF4/THBD/C2/FASLG/CXCL2/EMILIN1/SERPINE1/IL36B/ARG2/NR4A1/CXCL3/COLEC12/NLRP3/LCN2/S100A12/IL36G/CXCL10/MAOB/IL1A/SEMG2/CD96/CXCL1	179
GO:0022407	regulation of cell-cell adhesion	153/2449	397/12472	6.17597503852665e-19	1.65392611531744e-15	1.11102540429916e-15	PTPN2/IL15/CD80/IDO1/SOCS1/CCR7/MAP3K8/PAG1/TWSG1/RELA/ADAM19/CCL19/RIPK2/JAG1/FOXO3/BCL6/JAK3/FLOT1/HLA-DMA/NCK2/CXCL13/SLAMF1/RASGRP1/ZC3H12A/CD274/HLX/MAD2L2/HLA-DPB1/CASP3/HLA-DPA1/VEGFA/TGFBR2/EBI3/PELI1/NR4A3/IL10/SDC4/IL7R/FGL2/RDX/CD4/CD83/HLA-DMB/CHST2/CD74/ITGB2/CD44/ASS1/ADTRP/ST3GAL4/DPP4/LYN/CD86/WNT5A/TNFSF9/NFKBIZ/ZP3/ABL2/RHOH/MDK/GPAM/SHB/HLA-DRB1/PNP/NFAT5/CD1D/PDPN/SERPINE2/HLA-DRA/TSPAN32/LILRB1/RUNX1/ADA/ADORA2A/PLAUR/IL2RA/HLA-DQB1/CDH1/CCL5/TNF/LGALS9B/FLOT2/VSIR/LGALS9/MIR146A/LILRB2/SPN/LOXL3/IL12B/CD70/IL1RN/SERPINF2/BMP6/ADAM8/CLECL1P/MDGA1/AFDN/DLG5/GLI3/TESPA1/FUT7/GPNMB/PYCARD/EPB41L5/ASCL2/AIF1/C1QTNF1/LAG3/RIPOR2/HFE/PDCD1LG2/CD55/IL1RL2/IL7/IFNG/HLA-DRB5/IRF1/CD9/ZNF703/HES1/ETS1/CCL2/LGALS9C/ANK3/CCR2/VNN1/HLA-DOA/ICOS/HLA-DOB/IL18/CR1/IL23A/TNFSF4/HLA-DQB2/ITGA4/EPHB3/HHLA2/MYO10/CELSR2/EMILIN1/VSIG4/TJP1/TBX21/CEACAM1/IL36B/TRPV4/YES1/LEP/ARG2/CARD11/NLRP3/IL1A/LAX1	153
GO:0006935	chemotaxis	138/2449	348/12472	1.95055316961066e-18	2.61179069410868e-15	1.75447124571822e-15	PTPN2/CCL15/CCL14/ELMO2/CCR7/CCL23/CCL19/CCL18/ITGAV/PLD1/SEMA4B/NRP2/SEMA3C/CXCL13/SLAMF1/RAB13/SEMA4D/PDGFRA/P2RX4/VEGFA/HSD3B7/ADGRA2/EPHB1/IL10/FPR2/NINJ1/CYP7B1/CD74/ITGB2/FLRT2/FCER1G/DPP4/LYN/CMTM7/CAMK1D/WNT5A/PDE4B/NTN1/C5/MDK/FES/PDGFA/ENPP2/CYSLTR1/CXCR5/DOCK4/CCL1/JAML/PLAUR/TNFAIP6/UNC5C/CCL5/FOSL1/EDN1/CCL4/GREM1/ITGA9/CXCL14/LGALS9/ACKR3/DUSP1/SPN/TUBB2B/TRPM2/FFAR2/LSP1/IL17RC/ADAM8/SEMA4C/PTPRO/GPNMB/S100A4/AIF1/TREM1/RIPOR2/TRPM4/CCL8/SEMA3A/CXCL6/CCL17/HGF/TREM2/GPR183/SLAMF8/CCL3/CCL4L1/CSF1R/S100A9/EPHA2/ARHGEF5/CCR5/LGMN/SEMA3B/FPR3/CCL2/HBEGF/ROBO1/CCR6/EDNRB/NEDD9/SEMA6B/CCR2/SEMA6A/ITGA2/CMTM1/CH25H/ECSCR/CX3CR1/CXCL8/PROK2/CMTM8/STAP1/ITGB3/PLXNA4/IL23A/DEFB124/PDGFRB/CCL13/CXCL2/SERPINE1/CCL22/ITGA1/TRPV4/NR4A1/MET/CD300H/CCL3L1/CCL3L3/CXCL3/SUCNR1/S100A12/THBS1/MMP2/CXCR6/CSF1/CXCL10/MIR34A/CXCL1	138
GO:0042330	taxis	138/2449	348/12472	1.95055316961066e-18	2.61179069410868e-15	1.75447124571822e-15	PTPN2/CCL15/CCL14/ELMO2/CCR7/CCL23/CCL19/CCL18/ITGAV/PLD1/SEMA4B/NRP2/SEMA3C/CXCL13/SLAMF1/RAB13/SEMA4D/PDGFRA/P2RX4/VEGFA/HSD3B7/ADGRA2/EPHB1/IL10/FPR2/NINJ1/CYP7B1/CD74/ITGB2/FLRT2/FCER1G/DPP4/LYN/CMTM7/CAMK1D/WNT5A/PDE4B/NTN1/C5/MDK/FES/PDGFA/ENPP2/CYSLTR1/CXCR5/DOCK4/CCL1/JAML/PLAUR/TNFAIP6/UNC5C/CCL5/FOSL1/EDN1/CCL4/GREM1/ITGA9/CXCL14/LGALS9/ACKR3/DUSP1/SPN/TUBB2B/TRPM2/FFAR2/LSP1/IL17RC/ADAM8/SEMA4C/PTPRO/GPNMB/S100A4/AIF1/TREM1/RIPOR2/TRPM4/CCL8/SEMA3A/CXCL6/CCL17/HGF/TREM2/GPR183/SLAMF8/CCL3/CCL4L1/CSF1R/S100A9/EPHA2/ARHGEF5/CCR5/LGMN/SEMA3B/FPR3/CCL2/HBEGF/ROBO1/CCR6/EDNRB/NEDD9/SEMA6B/CCR2/SEMA6A/ITGA2/CMTM1/CH25H/ECSCR/CX3CR1/CXCL8/PROK2/CMTM8/STAP1/ITGB3/PLXNA4/IL23A/DEFB124/PDGFRB/CCL13/CXCL2/SERPINE1/CCL22/ITGA1/TRPV4/NR4A1/MET/CD300H/CCL3L1/CCL3L3/CXCL3/SUCNR1/S100A12/THBS1/MMP2/CXCR6/CSF1/CXCL10/MIR34A/CXCL1	138
GO:0019221	cytokine-mediated signaling pathway	151/2449	399/12472	7.47154879472782e-18	8.00352306891244e-15	5.37636921692204e-15	UGCG/PTPN2/IL15/CCL15/HIF1A/CCL14/SOCS1/CCR7/CASP4/RFFL/CCL23/RELA/IL15RA/IL27RA/CCL19/RIPK2/CCL18/FOXO3/NFKBIA/CASP1/TBK1/CARD16/JAK3/CARD14/CEBPA/CXCL13/MAPKAPK2/CSF2/PTPN1/LILRA4/TRAF3IP2/TNFAIP3/HCK/EBI3/RABGEF1/STAT4/TNFRSF1B/TANK/IL7R/CD4/CD74/IL31RA/CD44/FCER1G/TNIP2/LYN/IRF7/TRIM65/WNT5A/ACSL1/IL1R2/NFKBIZ/VRK2/TP53/NLRC5/LRP8/LILRA5/TRAF1/LILRB1/CXCR5/OSM/CCL1/IRAK2/USP27X/IL2RA/PARP14/IL36RN/LILRA1/CCL5/TNF/DUOX2/FOSL1/EDN1/CCL4/USP18/TRAF5/IL1RAP/MMP12/IFI27/CLCF1/MIR146A/AIM2/FZD4/PLCB1/ACKR3/LILRB2/SPHK1/BIRC3/IL17RC/IL12B/CD70/IL1RN/SLC27A1/IFITM1/IFIH1/PYCARD/PARP9/OASL/CCL8/CXCL6/EXT1/CCL17/TREM2/IL12RB2/IL1RL2/IL7/IFNG/CCL3/IRF1/CSF2RB/CCL4L1/CSF1R/ZBP1/CCR5/CCL2/ROBO1/CCR6/IFITM3/CCR2/MX1/INHBA/EDA2R/IL22RA2/CX3CR1/CXCL8/EREG/ISG15/IL18/PPARG/STAP1/ST18/BIRC7/IL18RAP/CCL13/CXCL2/CCL22/CEACAM1/IL36B/LEP/CCL3L1/CCL3L3/CXCL3/IL2RB/IL36G/CXCR6/IL18R1/CSF1/CXCL10/MIR34A/IL1A/CXCL1	151
GO:0050900	leukocyte migration	128/2449	323/12472	3.73035019564575e-17	3.32995927464644e-14	2.23690122258196e-14	MCOLN2/CCL15/CCL14/B4GALT1/CCR7/CCL23/IL27RA/CCL19/CCL18/ICAM1/MYO1G/PTGER4/CXCL13/SLAMF1/HCK/CD200/P2RX4/VEGFA/RABGEF1/HSD3B7/IL10/FPR2/NINJ1/CYP7B1/CHST2/CD74/ITGB2/MMP14/FCER1G/ADTRP/ST3GAL4/DPP4/LYN/CAMK1D/WNT5A/PDE4B/ZP3/ABL2/C5/MDK/ADORA1/CXCR5/ADA/CCL1/JAML/TNFAIP6/CCL5/TNF/EDN1/CCL4/GREM1/ITGA9/LGALS9/MIR146A/PLCB1/DUSP1/SPN/TRPM2/PECAM1/FFAR2/IL17RC/ADAM8/PTPRO/FUT7/PYCARD/ASCL2/AIF1/TREM1/RIPOR2/TRPM4/CCL8/CXCL6/EXT1/CCL17/TREM2/GPR183/SLAMF8/CCL3/CCL4L1/CD200R1/CD9/CSF1R/S100A9/ARHGEF5/CCR5/LGMN/CCL2/CCR6/ITGA6/EDNRB/NEDD9/CCR2/ITGA2/CH25H/CX3CR1/CXCL8/ITGA3/STAP1/ITGB3/IL23A/DEFB124/ITGA4/GCSAM/GPR15/CCL13/CXCL2/EMILIN1/SERPINE1/CCL22/ITGA1/TBX21/TRPV4/YES1/APOD/LEP/CD300H/CCL3L1/CCL3L3/CXCL3/S100A12/THBS1/MMP2/SELL/CSF1/CXCL10/SMPD3/IL1A/CXCL1	128
GO:0007159	leukocyte cell-cell adhesion	137/2449	356/12472	5.25299488163647e-17	4.01929151229213e-14	2.69996037675691e-14	PTPN2/IL15/CD80/IDO1/SOCS1/CCR7/MAP3K8/PAG1/TWSG1/RELA/CCL19/RIPK2/ITGA5/FOXO3/BCL6/JAK3/ICAM1/HLA-DMA/NCK2/SLAMF1/RASGRP1/ZC3H12A/CD274/HLX/SEMA4D/HLA-DPB1/CASP3/HLA-DPA1/TGFBR2/EBI3/SLC39A8/PELI1/NR4A3/IL10/TNIP1/SDC4/IL7R/FGL2/CD4/CD83/HLA-DMB/CHST2/CD74/ITGB2/CD44/ASS1/ADTRP/ST3GAL4/DPP4/LYN/CD86/TNFSF9/NFKBIZ/ZP3/ABL2/RHOH/MDK/GPAM/SHB/HLA-DRB1/PNP/NFAT5/CD1D/HLA-DRA/TSPAN32/LILRB1/RUNX1/ADA/ADORA2A/IL2RA/HLA-DQB1/CCL5/TNF/LGALS9B/FLOT2/VSIR/LGALS9/MIR146A/LILRB2/SPN/LOXL3/PECAM1/IL12B/CD70/ADAM8/CLECL1P/DLG5/GLI3/TESPA1/FUT7/GPNMB/PYCARD/ASCL2/AIF1/LAG3/RIPOR2/HFE/PDCD1LG2/EXT1/CD55/LRG1/IL1RL2/IL7/IFNG/HLA-DRB5/IRF1/S100A9/HES1/ETS1/CCL2/LGALS9C/CCR2/VNN1/HLA-DOA/ICOS/CX3CR1/HLA-DOB/IL18/CR1/IL23A/TNFSF4/HLA-DQB2/ITGA4/HHLA2/VSIG4/TBX21/CEACAM1/IL36B/YES1/LEP/ARG2/CLEC4M/CARD11/NLRP3/SELL/IL1A/LAX1	137
GO:0032496	response to lipopolysaccharide	113/2449	276/12472	1.69455819190415e-16	1.13450670947983e-13	7.62105249990577e-14	CD80/NOCT/IDO1/CCR7/RELA/SLC7A5/RIPK2/NFKBIA/CASP1/CARD16/PTGIR/PTGER4/NFKB2/ACOD1/ACE/CXCL13/MAPKAPK2/CSF2/ZC3H12A/CD274/TNFAIP3/HCK/CASP3/CD40/PELI1/GJB2/FOSL2/TNFRSF1B/IL10/TNIP1/ADM/CNP/IL18BP/MGST2/GCH1/ALAD/ASS1/ACP5/NFKB1/TNIP2/LYN/TRIB1/CD86/WNT5A/PDE4B/NFKBIZ/SBNO2/PCK2/MAP2K3/CYP27B1/LILRB1/GBP2/CMPK2/IRAK2/IL36RN/TNF/EDN1/TNIP3/NQO1/SCIMP/LGALS9/MIR146A/GBP3/TLR2/TIFAB/LILRB2/IL12B/BMP6/NR1D1/SASH1/SCARB1/LY86/PYCARD/AKAP12/PDCD1LG2/CXCL6/TREM2/CD180/CD55/IL12RB2/EPHB2/CSF2RB/CD36/S100A9/ZFP36/CCR5/CCL2/LTA/CEBPE/EDNRB/ALPL/GBP5/SLC11A1/CX3CR1/CXCL8/MPO/STAP1/TNFSF4/THBD/C2/FASLG/CXCL2/SERPINE1/IL36B/NR4A1/CXCL3/NLRP3/IL36G/CXCL10/MAOB/IL1A/CD96/CXCL1	113
GO:0002237	response to molecule of bacterial origin	117/2449	291/12472	2.46712039575956e-16	1.46821075996536e-13	9.86271054117683e-14	CD80/NOCT/IDO1/CCR7/RELA/SLC7A5/RIPK2/NFKBIA/CASP1/CARD16/PTGIR/PTGER4/NFKB2/ACOD1/ACE/CXCL13/MAPKAPK2/CSF2/ZC3H12A/CD274/CARD9/TNFAIP3/HCK/CASP3/CD40/TLR1/PELI1/GJB2/FOSL2/TNFRSF1B/IL10/TNIP1/ADM/CNP/IL18BP/MGST2/GCH1/ALAD/ASS1/ACP5/NFKB1/TNIP2/LYN/TRIB1/CD86/WNT5A/PDE4B/NFKBIZ/SBNO2/PCK2/MAP2K3/CYP27B1/LILRB1/GBP2/CMPK2/IRAK2/IL36RN/TNF/EDN1/TNIP3/NQO1/SCIMP/LGALS9/MIR146A/GBP3/TLR2/TIFAB/LILRB2/IL12B/BMP6/NR1D1/SASH1/SCARB1/LY86/PYCARD/AKAP12/TLR10/PDCD1LG2/CXCL6/TREM2/CD180/CD55/IL12RB2/EPHB2/CSF2RB/CD36/S100A9/ZFP36/CCR5/CCL2/LTA/CEBPE/EDNRB/ALPL/GBP5/SLC11A1/CX3CR1/CXCL8/MPO/STAP1/DEFB124/TNFSF4/THBD/C2/FASLG/CXCL2/SERPINE1/IL36B/NR4A1/CXCL3/NLRP3/IL36G/CXCL10/MAOB/IL1A/CD96/CXCL1	117
GO:1903037	regulation of leukocyte cell-cell adhesion	125/2449	325/12472	1.34707566412895e-15	7.21493725707466e-13	4.84663644209764e-13	PTPN2/IL15/CD80/IDO1/SOCS1/CCR7/MAP3K8/PAG1/TWSG1/RELA/CCL19/RIPK2/FOXO3/BCL6/JAK3/HLA-DMA/NCK2/SLAMF1/RASGRP1/ZC3H12A/CD274/HLX/HLA-DPB1/CASP3/HLA-DPA1/TGFBR2/EBI3/PELI1/NR4A3/IL10/SDC4/IL7R/FGL2/CD4/CD83/HLA-DMB/CHST2/CD74/ITGB2/CD44/ASS1/ADTRP/ST3GAL4/DPP4/LYN/CD86/TNFSF9/NFKBIZ/ZP3/ABL2/RHOH/MDK/GPAM/SHB/HLA-DRB1/PNP/NFAT5/CD1D/HLA-DRA/TSPAN32/LILRB1/RUNX1/ADA/ADORA2A/IL2RA/HLA-DQB1/CCL5/TNF/LGALS9B/FLOT2/VSIR/LGALS9/MIR146A/LILRB2/SPN/LOXL3/IL12B/CD70/ADAM8/CLECL1P/DLG5/GLI3/TESPA1/FUT7/GPNMB/PYCARD/ASCL2/AIF1/LAG3/RIPOR2/HFE/PDCD1LG2/CD55/IL1RL2/IL7/IFNG/HLA-DRB5/IRF1/HES1/ETS1/CCL2/LGALS9C/CCR2/VNN1/HLA-DOA/ICOS/HLA-DOB/IL18/CR1/IL23A/TNFSF4/HLA-DQB2/ITGA4/HHLA2/VSIG4/TBX21/CEACAM1/IL36B/YES1/LEP/ARG2/CARD11/NLRP3/IL1A/LAX1	125
