category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	98/1346	298/9378	1.46413591541513e-16	5.13911706310712e-14	3.76051750906624e-14	3600/6359/6358/1236/6368/3601/9466/6363/6362/8771/10563/27302/1437/958/7048/10148/7133/3586/3575/920/91/133396/9235/768211/7850/8744/943/3604/643/5008/6346/3559/26525/6352/7124/6351/27189/3556/23529/9547/57007/4982/84818/3593/970/3557/654/8794/6355/6372/6361/3595/8808/3574/3458/246778/6348/1439/9560/388372/1436/130399/1234/6347/4049/94/1235/729230/3624/60401/1524/3576/3606/51561/7292/23495/8807/3976/4804/356/6357/2920/6367/27177/3952/6349/414062/2921/10220/29949/3560/56300/10663/8809/1435/3627/3552/2919	98
Environmental Information Processing	Signaling molecules and interaction	hsa04061	Viral protein interaction with cytokine and cytokine receptor	46/1346	100/9378	2.26722714759377e-14	3.97898364402707e-12	2.91159696848884e-12	6359/6358/1236/6368/6363/6362/10563/7133/3586/643/6346/3559/6352/7124/6351/9547/57007/8794/6355/6372/6361/6348/9560/388372/1436/1234/6347/4049/1235/729230/1524/3576/3606/8807/6357/2920/6367/6349/414062/2921/29949/3560/8809/1435/3627/2919	46
Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	41/1346	100/9378	5.62285973582684e-11	6.5787458909174e-09	4.81395710716403e-09	3678/952/3108/1437/3115/3113/3575/920/3109/960/7850/3123/912/3122/3559/3119/7124/913/3684/1604/3574/3127/930/948/928/1436/3655/3673/3111/3112/1378/3675/3690/924/3120/4311/3676/3672/1380/1435/3552	41
Human Diseases	Immune disease	hsa05323	Rheumatoid arthritis	39/1346	95/9378	1.58220494056238e-10	1.38838483534349e-08	1.01594211972953e-08	3600/941/1514/3383/3108/1437/3115/3113/7422/3109/3689/54/942/3123/3122/1513/3119/6352/7124/7097/6372/3458/3127/6348/155066/6347/3111/3112/3576/3606/51561/3120/2920/6349/414062/2921/1435/3552/2919	39
Human Diseases	Infectious disease: parasitic	hsa05145	Toxoplasmosis	41/1346	112/9378	3.3415723026575e-09	2.34578375646557e-07	1.71651293020722e-07	8651/3909/5970/3918/4792/3108/3115/836/3113/958/3586/4261/3949/3109/10105/4790/3914/5600/10454/3123/5606/3122/10000/3119/7124/596/7097/3912/330/3593/3458/3127/1234/3655/3310/3111/3112/3120/79444/2770/3911	41
Human Diseases	Immune disease	hsa05330	Allograft rejection	21/1346	39/9378	7.9337438029466e-09	4.64124012472376e-07	3.39619910161223e-07	941/3108/3115/3113/958/3586/3109/942/3123/3122/3119/7124/3593/3458/3127/3002/5551/3111/3112/3120/356	21
Human Diseases	Endocrine and metabolic disease	hsa04940	Type I diabetes mellitus	22/1346	44/9378	2.1147119481633e-08	1.06037699115046e-06	7.75924383987738e-07	941/3108/3115/3113/3109/942/3123/3122/3119/7124/3593/3458/3127/4049/3002/5551/3111/3112/3120/356/5799/3552	22
Human Diseases	Immune disease	hsa05321	Inflammatory bowel disease	28/1346	66/9378	2.58838136990138e-08	1.13565232604423e-06	8.31006650336757e-07	5970/3108/3115/3113/6775/3586/3109/4790/3123/3122/3119/7124/7097/3593/7100/3595/3458/3127/3111/3112/3606/51561/3120/8807/4094/30009/8809/3552	28
Environmental Information Processing	Signal transduction	hsa04064	NF-kappa B signaling pathway	37/1346	105/9378	6.21848578992e-08	2.4252094580688e-06	1.77463220203565e-06	5970/6363/4792/4616/10912/3383/7706/79092/8837/4791/1647/597/7128/958/5971/4790/4067/10454/7185/7124/6351/596/7188/330/23586/9560/388372/27040/4049/29760/60401/3576/6357/2920/84433/2921/2919	37
Organismal Systems	Immune system	hsa04658	Th1 and Th2 cell differentiation	34/1346	93/9378	7.5650416746929e-08	2.65532962781721e-06	1.94302123013165e-06	5970/5533/182/4792/3718/4775/3108/3115/3113/6775/54567/920/3109/4790/5600/3123/3122/3559/3119/4854/3593/3595/3458/3127/27040/55534/3111/3112/3120/4094/30009/28514/4773/3560	34
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	32/1346	88/9378	2.10223677496212e-07	6.70804643647005e-06	4.90857199129912e-06	629/1191/5265/5327/3689/727/10544/716/2151/5270/715/5329/7450/2153/5345/1675/2162/2/5624/3684/7448/1604/714/712/1378/3075/7056/717/5054/11326/1380/7035	32
Environmental Information Processing	Signal transduction	hsa04668	TNF signaling pathway	39/1346	119/9378	2.52684482479668e-07	7.3910211125303e-06	5.40833453728413e-06	3600/1326/5970/182/4792/4217/3383/8837/9021/192111/1437/197259/7128/836/7133/4323/4790/5600/10454/5606/7185/10000/6352/7124/1906/7188/330/64285/6372/3659/6347/4049/3976/2920/2921/8809/1435/3627/2919	39
